,Where did you find out about Orange?,What Data Mining level are you?,Where do you work?,Excel,IBM SPSS Statistics,KNIME,MATLAB,Python,Python Pandas,R,Rapid Miner,SQL,Weka,None,"Would you enjoy getting monthly tips and video tutorials on how to get the most out of Orange? If so, type your email below. <br><br>*<em>You can unsubscribe at any time and we will always respect your privacy.</em>"
1983,Anaconda,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,1,1
1984,Friends,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,0
1985,Anaconda,Beginner,I'm a student,0,1,1,1,1,0,1,1,0,1,1,1
1986,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,0,1,1
1987,Web,Beginner,I'm a student,0,1,1,0,1,1,1,1,1,1,1,0
1988,College,Beginner,I'm a student,0,1,1,1,1,1,0,1,1,1,1,0
1989,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,1,1
1990,College,Intermediate,Academia,0,0,1,1,0,1,1,0,1,1,1,1
1991,School,Intermediate,Academia,0,1,1,1,0,1,0,1,0,1,1,1
1992,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,0
1993,Web,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
1994,Conference,Expert,I'm a student,0,1,1,0,1,1,1,1,0,1,1,0
1995,Web,Beginner,Research,0,0,1,1,1,1,1,1,1,1,1,1
1996,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,1
1997,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
1998,Friends,Beginner,Academia,0,1,1,0,1,1,1,1,1,0,1,0
1999,Web,Beginner,Industry,0,1,1,0,0,0,0,1,1,1,1,1
2000,Job,Beginner,Industry,0,1,1,1,0,1,0,1,1,1,1,1
2001,Web,Intermediate,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2002,College,Beginner,I'm a student,0,1,1,1,1,1,0,1,1,1,1,1
2003,Web,Intermediate,Academia,0,0,1,1,1,1,0,1,1,1,1,1
2004,Anaconda,Beginner,,0,1,1,1,1,1,1,1,1,1,1,1
2005,Anaconda,Beginner,I'm a student,0,1,1,0,1,0,1,1,1,1,1,0
2006,Web,Intermediate,Industry,0,0,1,1,1,1,0,1,0,1,1,0
2007,Web,Beginner,,1,1,1,1,1,1,1,1,1,1,0,1
2008,School,Intermediate,Academia,0,1,0,0,1,1,1,1,0,0,1,0
2009,School,Intermediate,I'm a student,0,1,1,1,0,1,1,1,0,1,1,0
2010,,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
2011,Web,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
2012,School,Beginner,Academia,1,1,1,1,0,1,0,1,1,1,1,0
2013,Anaconda,Beginner,Academia,0,1,1,1,0,1,0,1,0,1,1,1
2014,Web,Beginner,,0,1,1,1,0,1,1,1,0,1,1,0
2015,Friends,Intermediate,Academia,0,1,1,0,1,1,1,1,1,1,1,1
2016,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2017,Web,Expert,Industry,0,1,1,1,0,0,0,1,0,1,1,0
2018,Web,Beginner,Industry,1,1,1,0,0,0,0,1,1,1,1,1
2019,School,Beginner,Academia,0,0,1,1,1,1,1,1,1,1,1,0
2020,Anaconda,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2021,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2022,School,Beginner,I'm a student,0,1,1,1,0,0,1,1,0,1,1,0
2023,,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2024,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,1
2025,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,1
2026,Friends,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,0
2027,College,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
2028,Web,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
2029,College,Beginner,I'm a student,0,1,1,0,0,1,1,1,0,1,1,1
2030,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
2031,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2032,Web,Intermediate,,0,1,1,1,0,1,0,1,1,1,1,0
2033,Web,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,1
2034,College,Beginner,Industry,0,1,1,1,0,0,0,1,0,1,1,1
2035,,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
2036,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2037,School,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2038,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
2039,College,Beginner,I'm a student,0,0,1,1,1,1,0,0,0,1,1,1
2040,,Intermediate,Industry,0,1,1,1,0,0,1,1,1,1,1,1
2041,Job,Beginner,,1,1,1,1,1,1,1,1,0,1,1,1
2042,Anaconda,Intermediate,Industry,0,1,1,1,0,0,1,1,0,1,1,1
2043,Friends,Intermediate,I'm a student,0,0,0,1,1,1,0,1,1,1,1,1
2044,Anaconda,Intermediate,Industry,0,1,0,1,0,0,1,1,0,1,1,0
2045,Anaconda,Beginner,Industry,1,1,1,1,0,0,1,1,0,1,1,0
2046,Anaconda,Beginner,Academia,0,1,1,0,1,1,1,1,1,1,1,1
2047,College,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2048,School,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
2049,Web,Expert,Industry,0,1,0,1,0,0,1,0,1,0,1,1
2050,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2051,Anaconda,Beginner,Academia,1,1,1,0,0,0,1,1,1,1,1,0
2052,Web,Beginner,I'm a student,1,1,1,1,1,0,1,0,0,1,1,1
2053,Anaconda,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,0
2054,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2055,College,Beginner,I'm a student,1,1,1,1,0,0,0,1,0,1,1,1
2056,Web,Beginner,Academia,0,1,1,1,0,1,1,1,0,1,1,0
2057,Anaconda,Intermediate,Industry,1,1,1,1,0,1,1,1,1,1,1,0
2058,,Beginner,,1,1,1,1,1,1,0,1,1,1,1,0
2059,Anaconda,Beginner,Industry,1,1,1,0,0,1,1,1,1,1,1,1
2060,Web,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2061,Web,Intermediate,Industry,0,1,1,1,0,1,1,1,1,1,1,1
2062,Anaconda,Beginner,,1,1,1,1,1,1,1,1,1,1,1,1
2063,Job,Beginner,Research,0,0,1,1,1,1,0,1,1,1,1,0
2064,Web,Expert,Academia,0,0,1,0,0,1,0,0,0,0,1,1
2065,Job,Beginner,Industry,0,1,1,0,0,1,1,1,0,1,1,1
2066,College,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2067,Conference,Intermediate,Research,0,1,1,1,0,1,1,1,0,1,1,1
2068,School,Beginner,I'm a student,1,1,1,1,1,1,1,1,0,1,1,1
2069,Friends,Beginner,Research,0,0,1,1,1,1,1,1,1,1,1,1
2070,Web,Intermediate,Industry,0,1,1,0,0,0,1,1,0,0,1,1
2071,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2072,Anaconda,Beginner,Research,0,1,1,0,0,0,1,1,0,1,1,1
2073,Web,Beginner,Industry,0,1,1,1,0,0,0,1,0,1,1,0
2074,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2075,,Intermediate,Industry,1,1,1,1,0,0,0,1,1,1,1,0
2076,Web,Beginner,Industry,0,1,1,1,1,1,1,0,1,1,1,0
2077,School,Beginner,I'm a student,0,1,1,0,0,0,1,1,1,1,1,1
2078,,Beginner,Academia,0,1,1,1,0,1,0,1,1,1,1,0
2079,College,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2080,Conference,Beginner,,1,1,1,1,1,1,0,1,0,1,1,0
2081,Friends,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2082,Web,Beginner,Industry,0,1,1,0,1,1,1,0,1,1,1,0
2083,School,Beginner,Academia,1,1,1,1,1,1,1,1,1,1,0,1
2084,Web,Intermediate,Research,0,1,1,1,0,1,0,1,1,1,1,1
2085,Anaconda,Beginner,,0,1,1,1,1,1,0,1,1,1,1,1
2086,Web,Beginner,Industry,0,1,0,1,1,1,1,1,1,1,1,1
2087,Job,Beginner,,0,1,1,1,1,1,1,1,0,1,1,1
2088,Anaconda,Beginner,I'm a student,1,1,1,1,0,0,0,1,1,1,1,1
2089,Friends,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,1
2090,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2091,College,Intermediate,I'm a student,0,1,1,1,0,1,1,1,0,1,1,1
2092,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2093,Anaconda,Intermediate,Industry,0,1,1,0,0,0,0,1,1,1,1,1
2094,Friends,Beginner,Academia,0,1,1,0,0,1,1,1,0,1,1,1
2095,Job,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2096,Web,Beginner,Academia,0,1,1,0,1,1,0,1,1,1,1,0
2097,Friends,Beginner,Industry,1,1,1,1,0,0,1,1,1,1,1,0
2098,Anaconda,Intermediate,Academia,1,1,1,1,1,1,0,1,1,1,1,1
2099,School,Beginner,Academia,0,1,1,0,0,1,0,1,0,1,1,1
2100,School,Beginner,Academia,0,1,1,1,0,0,0,0,0,0,1,0
2101,Web,Expert,Academia,1,1,1,0,0,1,1,1,1,1,1,1
2102,Web,Beginner,Industry,1,1,1,1,1,1,1,1,0,1,1,1
2103,Friends,Beginner,Industry,0,1,1,1,0,1,1,1,1,1,1,0
2104,Anaconda,Beginner,Research,1,1,1,1,1,0,1,1,1,1,1,1
2105,College,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2106,,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,0
2107,School,Intermediate,I'm a student,0,0,1,1,0,1,0,1,0,1,1,0
2108,School,Intermediate,I'm a student,0,0,1,1,1,1,0,1,1,1,1,0
2109,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2110,,Beginner,Academia,0,1,1,1,0,0,1,1,1,1,1,0
2111,College,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,1
2112,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2113,College,Beginner,I'm a student,0,1,1,0,0,1,1,1,0,1,1,1
2114,School,Beginner,,1,1,1,1,1,1,1,1,1,1,0,1
2115,Web,Beginner,Research,0,0,1,1,1,1,1,0,0,1,1,1
2116,Anaconda,Intermediate,Research,0,0,1,1,0,1,0,0,1,1,1,0
2117,,Intermediate,Industry,1,1,0,1,0,0,1,1,0,1,1,1
2118,Web,Beginner,Industry,0,1,1,1,0,0,1,1,1,1,1,1
2119,Web,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,1
2120,Web,Beginner,Industry,0,1,1,1,1,1,0,1,0,1,1,1
2121,Web,Beginner,I'm a student,0,0,1,1,1,1,0,1,0,1,1,0
2122,Web,Intermediate,Academia,1,1,1,1,1,1,0,0,1,0,1,0
2123,School,Beginner,I'm a student,0,1,1,1,0,1,0,1,0,1,1,0
2124,School,Beginner,I'm a student,1,1,1,0,0,1,1,1,0,1,1,1
2125,Anaconda,Beginner,Academia,0,0,1,1,0,1,1,1,1,1,1,1
2126,Job,Expert,Industry,1,1,1,1,0,1,1,1,1,1,1,1
2127,Anaconda,Beginner,Industry,0,1,1,1,0,1,1,1,1,1,1,0
2128,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
2129,Web,Beginner,Research,1,1,1,1,0,1,1,1,1,1,1,0
2130,Job,Beginner,Industry,0,1,1,1,1,1,0,1,1,1,1,0
2131,,Beginner,Industry,0,0,1,0,1,1,1,1,1,1,1,0
2132,Web,Beginner,I'm a student,0,1,1,1,0,1,0,1,0,0,1,1
2133,Anaconda,Beginner,Industry,0,1,1,1,0,0,1,1,0,1,1,0
2134,Web,Intermediate,I'm a student,1,1,1,1,0,0,1,1,0,1,1,1
2135,Anaconda,Beginner,,0,1,1,1,0,0,0,0,0,1,1,0
2136,Web,Intermediate,I'm a student,0,1,1,0,1,1,1,1,1,1,1,0
2137,Web,Expert,,1,1,1,0,0,0,1,1,1,1,1,1
2138,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
2139,Anaconda,Beginner,I'm a student,0,1,1,0,0,0,0,1,0,1,1,0
2140,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2141,Anaconda,Expert,I'm a student,1,1,1,1,1,1,0,1,1,1,1,1
2142,College,Beginner,Industry,1,1,1,1,1,1,1,1,0,1,1,0
2143,Friends,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2144,Web,Beginner,Academia,0,1,1,1,1,1,1,1,0,1,1,1
2145,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2146,School,Beginner,,1,1,1,1,0,1,0,1,0,1,1,1
2147,Web,Beginner,Academia,1,1,1,1,1,1,1,1,1,1,0,0
2148,School,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
2149,Web,Intermediate,Industry,1,1,0,0,1,0,1,1,1,1,1,0
2150,Anaconda,Intermediate,Industry,0,0,1,1,0,0,0,1,0,1,1,0
2151,Web,Intermediate,Industry,0,1,1,1,0,1,0,1,0,1,1,1
2152,Web,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,1
2153,Job,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
2154,Anaconda,Intermediate,Research,1,1,1,1,0,1,1,1,1,1,1,0
2155,Web,Intermediate,Industry,0,1,1,1,0,0,0,1,0,1,1,1
2156,College,Beginner,Academia,0,1,1,1,1,1,1,0,1,1,1,1
2157,Conference,Beginner,,0,1,1,1,1,1,1,1,1,1,1,0
2158,Anaconda,Beginner,Research,0,1,1,1,1,1,1,1,0,1,1,1
2159,Web,Expert,Industry,1,1,1,1,1,1,1,0,1,1,1,1
2160,Job,Expert,I'm a student,1,1,1,1,1,0,1,1,1,1,1,1
2161,,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2162,Web,,Industry,0,1,1,1,0,0,0,1,1,1,1,0
2163,Web,Beginner,,1,0,1,1,1,1,1,1,1,1,1,0
2164,Web,Beginner,Academia,0,1,1,1,0,0,1,1,1,1,1,1
2165,Web,Beginner,Industry,0,1,1,1,0,1,0,1,0,0,1,1
2166,Web,Beginner,Research,1,1,1,1,1,1,1,1,1,1,0,1
2167,Anaconda,Beginner,Academia,0,1,1,1,0,0,0,1,1,1,1,1
2168,Web,Beginner,Research,0,0,1,1,1,1,1,1,1,0,1,0
2169,Anaconda,Intermediate,Academia,0,1,1,1,0,0,0,1,1,1,1,1
2170,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2171,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
2172,College,Beginner,I'm a student,0,1,1,1,0,1,0,1,1,1,1,0
2173,Anaconda,Expert,Industry,1,1,1,1,0,0,1,1,0,1,1,1
2174,Friends,Beginner,Industry,0,1,1,1,0,0,1,1,1,1,1,0
2175,Anaconda,Intermediate,Academia,1,1,1,1,0,1,1,1,1,1,1,1
2176,Web,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,0
2177,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,1
2178,Web,Beginner,Industry,1,1,1,1,1,1,1,1,0,1,1,1
2179,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,0,1,1,1
2180,School,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,0
2181,,Beginner,Academia,1,1,1,1,1,1,1,1,1,1,1,0
2182,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,0,1,1
2183,School,Beginner,Academia,0,0,1,1,1,1,1,1,1,1,1,0
2184,,Beginner,Industry,0,1,1,0,0,1,1,1,0,1,1,0
2185,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
2186,Web,Intermediate,Academia,1,1,1,1,0,1,1,1,1,1,1,1
2187,Anaconda,Beginner,Industry,0,1,1,1,0,0,1,1,1,1,1,1
2188,Anaconda,Beginner,Industry,1,1,1,1,1,1,0,1,1,1,1,1
2189,,Beginner,,0,1,1,1,1,1,1,1,0,1,1,1
2190,Web,Beginner,Academia,0,1,1,1,1,1,1,0,1,1,1,1
2191,Web,Beginner,I'm a student,0,1,1,1,0,1,1,0,1,1,1,1
2192,Friends,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
2193,Anaconda,,I'm a student,0,1,1,0,1,1,1,1,1,1,1,1
2194,Web,Intermediate,I'm a student,0,1,1,0,1,0,0,0,0,0,1,0
2195,Anaconda,Beginner,I'm a student,0,1,1,1,0,0,1,1,1,0,1,1
2196,Web,Intermediate,Academia,0,0,1,1,1,1,1,1,0,1,1,1
2197,College,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
2198,Anaconda,Intermediate,,0,1,1,0,0,0,1,1,0,1,1,1
2199,Anaconda,Intermediate,Industry,0,1,1,1,0,0,1,1,1,1,1,0
2200,,Beginner,Industry,1,1,1,1,0,1,1,1,0,1,1,1
2201,Anaconda,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2202,School,Expert,Industry,1,0,1,1,1,1,1,1,1,1,1,0
2203,Anaconda,Beginner,Industry,0,1,1,1,0,0,1,1,1,1,1,0
2204,Anaconda,Intermediate,Industry,1,1,1,1,0,0,1,1,1,1,1,1
2205,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,0,1,1
2206,Web,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
2207,Friends,Beginner,,0,1,1,1,0,1,1,1,1,1,1,1
2208,Web,Beginner,Research,1,1,1,1,0,1,1,1,1,1,1,1
2209,College,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2210,College,Beginner,Academia,1,1,1,1,0,0,0,1,1,1,1,1
2211,Job,Beginner,Research,0,1,1,1,1,1,0,1,1,1,1,1
2212,College,Intermediate,Academia,0,1,1,1,1,1,1,1,1,1,1,0
2213,Web,Intermediate,Industry,0,0,0,1,0,1,0,1,0,1,1,1
2214,Anaconda,Intermediate,Industry,0,0,0,1,0,0,0,0,0,0,1,0
2215,Anaconda,Intermediate,I'm a student,1,0,1,1,0,0,0,1,1,1,1,1
2216,Web,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,1
2217,Anaconda,Beginner,I'm a student,0,1,1,0,0,1,1,1,1,1,1,0
2218,Anaconda,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2219,Web,Beginner,Industry,0,1,1,0,0,0,0,1,0,1,1,1
2220,Anaconda,Beginner,Academia,0,0,0,0,0,0,0,0,0,1,1,0
2221,Conference,Intermediate,Research,0,1,1,0,0,0,1,1,0,1,1,1
2222,Anaconda,Beginner,Academia,0,0,1,1,1,1,0,1,1,1,1,0
2223,Anaconda,Beginner,I'm a student,0,1,1,1,0,0,0,0,0,1,1,1
2224,School,Intermediate,Industry,0,1,1,1,1,1,0,1,1,1,1,0
2225,Web,Beginner,,1,1,0,1,1,1,1,0,1,0,1,0
2226,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2227,Web,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,1
2228,Anaconda,Intermediate,Industry,0,1,1,1,1,1,0,1,0,1,1,1
2229,Anaconda,Beginner,I'm a student,0,0,1,1,0,1,0,1,1,1,1,1
2230,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,0,1,1,1
2231,Anaconda,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,1
2232,Friends,Expert,Industry,0,1,1,0,0,0,1,0,0,1,1,1
2233,College,Beginner,Academia,0,0,1,1,1,1,1,1,1,1,1,0
2234,Web,Intermediate,I'm a student,0,1,1,0,1,1,1,1,1,1,1,1
2235,Anaconda,Intermediate,Academia,1,1,1,1,0,0,1,1,1,1,1,0
2236,,Intermediate,Academia,1,1,1,1,0,0,0,0,1,1,1,0
2237,Anaconda,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
2238,Anaconda,Intermediate,Industry,0,1,1,0,0,0,1,1,0,1,1,1
2239,Web,Beginner,I'm a student,0,1,1,0,1,1,1,1,0,1,1,1
2240,Web,Beginner,I'm a student,0,0,1,0,1,1,0,1,1,1,1,0
2241,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,0,1,0,1,1,1
2242,Web,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,1
2243,Anaconda,Beginner,Industry,1,1,1,1,0,1,1,1,1,1,1,0
2244,Anaconda,Beginner,Industry,1,1,1,1,0,1,0,1,0,1,1,0
2245,Anaconda,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
2246,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2247,College,Beginner,,1,0,1,0,1,1,1,1,1,1,1,0
2248,Anaconda,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
2249,Job,Beginner,,0,1,0,1,1,1,1,1,1,1,1,1
2250,Anaconda,Beginner,Academia,0,1,1,0,1,1,1,1,1,1,1,0
2251,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2252,College,Beginner,Academia,0,0,1,1,0,1,1,1,0,1,1,0
2253,Job,Beginner,I'm a student,0,1,1,1,0,0,1,1,0,1,1,1
2254,Web,Intermediate,Industry,0,1,1,1,0,0,1,1,0,1,1,1
2255,Web,Beginner,,0,1,1,1,1,1,1,1,1,1,1,0
2256,Anaconda,Beginner,Research,0,1,1,1,0,0,1,1,1,1,1,1
2257,Anaconda,Beginner,Industry,0,1,1,1,1,0,1,1,0,1,1,0
2258,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2259,School,Beginner,I'm a student,0,1,1,1,0,1,1,1,1,0,1,1
2260,,Beginner,Industry,0,1,1,1,0,1,1,1,1,1,1,1
2261,Web,Intermediate,Industry,1,1,1,1,0,1,1,1,1,0,1,1
2262,Anaconda,Beginner,Academia,0,1,1,0,0,1,1,1,1,1,1,1
2263,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,0
2264,Web,Intermediate,Industry,1,1,1,1,0,1,1,1,1,1,1,1
2265,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,1,1,1,1,1,1
2266,,Beginner,Industry,0,1,1,0,0,0,1,1,1,1,1,0
2267,School,Expert,Academia,1,1,1,1,0,1,1,1,1,1,1,1
2268,Web,Intermediate,Industry,0,1,0,0,0,0,1,0,0,1,1,0
2269,Anaconda,Intermediate,Academia,1,1,1,0,0,0,0,1,1,1,1,0
2270,Web,Beginner,Industry,1,1,1,1,1,1,1,1,0,1,1,1
2271,Anaconda,Beginner,Research,0,0,1,1,1,1,0,1,1,1,1,1
2272,Web,Beginner,,0,1,1,1,1,1,1,1,0,1,1,1
2273,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,0,1,1
2274,Anaconda,Beginner,Research,0,0,1,1,0,1,0,1,0,1,1,0
2275,College,Beginner,I'm a student,0,0,1,1,1,1,0,1,1,1,1,0
2276,Friends,Beginner,Academia,0,0,1,0,1,1,0,0,1,0,1,0
2277,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
2278,School,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2279,College,Beginner,I'm a student,1,1,1,1,1,1,0,1,1,1,1,1
2280,College,Beginner,Academia,0,1,1,0,1,1,1,1,1,1,1,1
2281,Web,Beginner,Industry,0,1,1,0,1,1,0,1,0,1,1,1
2282,Anaconda,Beginner,I'm a student,1,1,1,1,0,0,0,1,1,1,1,0
2283,School,Beginner,Industry,0,1,1,1,1,1,0,1,0,1,1,1
2284,Anaconda,Intermediate,Research,0,1,1,0,0,1,1,1,1,1,1,0
2285,Anaconda,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
2286,Web,Beginner,Industry,1,1,1,1,1,0,1,1,1,1,1,0
2287,Anaconda,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2288,Job,Beginner,,1,1,1,1,1,1,1,1,1,1,0,1
2289,Web,Beginner,I'm a student,0,0,1,1,1,1,0,1,1,1,1,0
2290,Anaconda,Intermediate,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2291,,Beginner,Academia,1,1,1,1,1,1,1,1,0,1,1,1
2292,Web,Beginner,Industry,0,1,1,1,0,1,1,1,0,1,1,0
2293,Web,Expert,Academia,1,1,1,1,0,0,0,0,0,0,1,1
2294,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
2295,Anaconda,,Industry,0,1,1,1,1,1,0,1,0,1,1,0
2296,Job,Intermediate,Academia,1,0,1,1,1,1,0,1,1,1,1,1
2297,Web,Beginner,,1,1,1,1,0,1,1,1,1,1,1,1
2298,Anaconda,Beginner,Industry,0,1,1,1,0,0,1,1,0,1,1,0
2299,College,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,0
2300,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,0,1,1
2301,School,Beginner,Industry,1,1,1,1,1,1,1,1,1,1,0,1
2302,Anaconda,Intermediate,Research,0,1,0,1,0,0,1,0,0,1,1,0
2303,College,Beginner,I'm a student,0,0,1,1,0,1,0,1,1,1,1,0
2304,Anaconda,Beginner,,0,1,1,0,0,0,0,1,1,1,1,0
2305,Anaconda,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2306,Friends,Intermediate,Academia,0,1,1,1,0,0,0,1,0,1,1,0
2307,Job,Intermediate,Research,0,1,1,1,1,1,1,1,1,1,1,0
2308,Job,Beginner,Industry,1,1,1,1,1,1,1,1,1,1,0,0
2309,Anaconda,Beginner,Academia,1,1,1,1,0,1,1,1,0,1,1,0
2310,Anaconda,Beginner,Research,1,1,1,1,0,1,1,1,1,1,1,1
2311,Anaconda,Expert,I'm a student,0,0,1,0,0,0,1,1,0,0,1,0
2312,Web,Intermediate,,1,1,1,1,1,1,0,1,1,1,1,0
2313,Anaconda,Beginner,Research,0,1,1,1,1,0,1,1,1,1,1,1
2314,Anaconda,Intermediate,Academia,0,0,1,0,0,1,0,1,0,1,1,0
2315,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,1,1
2316,College,Beginner,Academia,0,1,1,0,0,1,1,1,0,1,1,1
2317,Anaconda,Beginner,I'm a student,0,1,1,1,0,0,1,1,0,1,1,0
2318,Web,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
2319,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
2320,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,0,1,0
2321,College,Intermediate,I'm a student,1,1,1,0,1,1,1,1,0,1,1,0
2322,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
2323,Anaconda,Intermediate,I'm a student,0,1,1,0,0,0,0,1,0,0,1,0
2324,College,Beginner,I'm a student,1,1,1,1,0,1,1,1,0,1,1,1
2325,Anaconda,Beginner,Academia,0,0,1,0,0,0,1,1,1,1,1,1
2326,Anaconda,Intermediate,Industry,0,1,1,1,0,0,0,1,0,1,1,1
